,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
130,2018,2018,0,Total,94129,11079.0,"Census Tract 136.02, Philadelphia County, PA",14000US42101013602
131,2018,2018,0,Total,42442,19072.0,"Census Tract 137, Philadelphia County, PA",14000US42101013700
132,2018,2018,0,Total,31939,11315.0,"Census Tract 138, Philadelphia County, PA",14000US42101013800
133,2018,2018,0,Total,22244,5233.0,"Census Tract 139, Philadelphia County, PA",14000US42101013900
134,2018,2018,0,Total,36923,9982.0,"Census Tract 140, Philadelphia County, PA",14000US42101014000
135,2018,2018,0,Total,22917,9808.0,"Census Tract 141, Philadelphia County, PA",14000US42101014100
136,2018,2018,0,Total,96544,18843.0,"Census Tract 142, Philadelphia County, PA",14000US42101014200
137,2018,2018,0,Total,82692,19739.0,"Census Tract 143, Philadelphia County, PA",14000US42101014300
138,2018,2018,0,Total,65781,10791.0,"Census Tract 144, Philadelphia County, PA",14000US42101014400
139,2018,2018,0,Total,18565,6123.0,"Census Tract 145, Philadelphia County, PA",14000US42101014500
140,2018,2018,0,Total,32357,9417.0,"Census Tract 146, Philadelphia County, PA",14000US42101014600
141,2018,2018,0,Total,11497,3343.0,"Census Tract 147, Philadelphia County, PA",14000US42101014700
142,2018,2018,0,Total,16250,9086.0,"Census Tract 148, Philadelphia County, PA",14000US42101014800
143,2018,2018,0,Total,16695,3605.9999999999995,"Census Tract 149, Philadelphia County, PA",14000US42101014900
144,2018,2018,0,Total,29118,7121.999999999999,"Census Tract 151.01, Philadelphia County, PA",14000US42101015101
145,2018,2018,0,Total,16596,4127.0,"Census Tract 151.02, Philadelphia County, PA",14000US42101015102
146,2018,2018,0,Total,25617,11071.0,"Census Tract 152, Philadelphia County, PA",14000US42101015200
147,2018,2018,0,Total,16909,3461.0,"Census Tract 153, Philadelphia County, PA",14000US42101015300
148,2018,2018,0,Total,23375,5479.0,"Census Tract 156, Philadelphia County, PA",14000US42101015600
149,2018,2018,0,Total,40432,5071.0,"Census Tract 157, Philadelphia County, PA",14000US42101015700
150,2018,2018,0,Total,74261,8331.0,"Census Tract 158, Philadelphia County, PA",14000US42101015800
